"Step","ex_iid - test/acc","ex_iid - test/acc__MIN","ex_iid - test/acc__MAX"
"515","0.9883","0.9883","0.9883"
"516","0.9884","0.9884","0.9884"
"517","0.9879","0.9879","0.9879"
"518","0.9895","0.9895","0.9895"
"519","0.9886","0.9886","0.9886"
"520","0.9886","0.9886","0.9886"
"521","0.9885","0.9885","0.9885"
"522","0.9884","0.9884","0.9884"
"523","0.9884","0.9884","0.9884"
"524","0.9886","0.9886","0.9886"
"525","0.9888","0.9888","0.9888"
"526","0.9893","0.9893","0.9893"
"527","0.988","0.988","0.988"
"528","0.9885","0.9885","0.9885"
"529","0.9879","0.9879","0.9879"
"530","0.9897","0.9897","0.9897"
"531","0.9876","0.9876","0.9876"
"532","0.989","0.989","0.989"
"533","0.9885","0.9885","0.9885"
"534","0.989","0.989","0.989"
"535","0.9894","0.9894","0.9894"
"536","0.9887","0.9887","0.9887"
"537","0.9883","0.9883","0.9883"
"538","0.9886","0.9886","0.9886"
"539","0.9884","0.9884","0.9884"
"540","0.9875","0.9875","0.9875"
"541","0.9874","0.9874","0.9874"
"542","0.9891","0.9891","0.9891"
"543","0.9875","0.9875","0.9875"
"544","0.9885","0.9885","0.9885"
"545","0.9892","0.9892","0.9892"
"546","0.9886","0.9886","0.9886"
"547","0.9893","0.9893","0.9893"
"548","0.9889","0.9889","0.9889"
"549","0.9893","0.9893","0.9893"
"550","0.9888","0.9888","0.9888"
"551","0.9884","0.9884","0.9884"
"552","0.9871","0.9871","0.9871"
"553","0.9888","0.9888","0.9888"
"554","0.9879","0.9879","0.9879"
"555","0.9888","0.9888","0.9888"
"556","0.9885","0.9885","0.9885"
"557","0.9874","0.9874","0.9874"
"558","0.9887","0.9887","0.9887"
"559","0.9887","0.9887","0.9887"
"560","0.9881","0.9881","0.9881"
"561","0.9892","0.9892","0.9892"
"562","0.9886","0.9886","0.9886"
"563","0.9887","0.9887","0.9887"
"564","0.989","0.989","0.989"
"565","0.9886","0.9886","0.9886"
"566","0.9884","0.9884","0.9884"
"567","0.9887","0.9887","0.9887"
"568","0.9891","0.9891","0.9891"
"569","0.9889","0.9889","0.9889"
"570","0.9893","0.9893","0.9893"
"571","0.9889","0.9889","0.9889"
"572","0.9882","0.9882","0.9882"
"573","0.9887","0.9887","0.9887"
"574","0.9891","0.9891","0.9891"
"575","0.9893","0.9893","0.9893"
"576","0.989","0.989","0.989"
"577","0.9892","0.9892","0.9892"
"578","0.9889","0.9889","0.9889"
"579","0.9885","0.9885","0.9885"
"580","0.989","0.989","0.989"
"581","0.9883","0.9883","0.9883"
"582","0.9893","0.9893","0.9893"
"583","0.9896","0.9896","0.9896"
"584","0.9878","0.9878","0.9878"
"585","0.9887","0.9887","0.9887"
"586","0.9891","0.9891","0.9891"
"587","0.9891","0.9891","0.9891"
"588","0.9882","0.9882","0.9882"
"589","0.989","0.989","0.989"
"590","0.9883","0.9883","0.9883"
"591","0.9883","0.9883","0.9883"
"592","0.9885","0.9885","0.9885"
"593","0.9888","0.9888","0.9888"
"594","0.9886","0.9886","0.9886"
"595","0.9888","0.9888","0.9888"
"596","0.9888","0.9888","0.9888"
"597","0.9892","0.9892","0.9892"
"598","0.9891","0.9891","0.9891"
"599","0.9896","0.9896","0.9896"
"600","0.988","0.988","0.988"
"601","0.9884","0.9884","0.9884"
"602","0.989","0.989","0.989"
"603","0.9894","0.9894","0.9894"
"604","0.9883","0.9883","0.9883"
"605","0.9892","0.9892","0.9892"
"606","0.9884","0.9884","0.9884"
"607","0.9894","0.9894","0.9894"
"608","0.9884","0.9884","0.9884"
"609","0.9897","0.9897","0.9897"
"610","0.9888","0.9888","0.9888"
"611","0.9895","0.9895","0.9895"
"612","0.9869","0.9869","0.9869"
"613","0.9896","0.9896","0.9896"
"614","0.9885","0.9885","0.9885"
"615","0.9889","0.9889","0.9889"
"616","0.989","0.989","0.989"
"617","0.9895","0.9895","0.9895"
"618","0.9891","0.9891","0.9891"
"619","0.9902","0.9902","0.9902"
